اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
مشروع أنظمة الحوكمة والمخاطر والالتزام,منافسة عامة,تحت التنفيذ,220139476573, شركة أركي للتقنية,2022-03-14,2022-05-18,12
مشروع شراء رخص وتطوير نظام الحضور والانصراف,منافسة عامة,تحت التنفيذ,220139478068, شركة اجادة للنظم المحدودة,2022-04-25,2022-05-29,36
تصميم وتنفيذ تحسينات على نظام ساب المرحلة الثانية,منافسة عامة,تحت التنفيذ,220139478153, شركة عبدالله فؤاد القابضة,2022-03-22,2022-05-19,24
تأمين خدمات الضيافة لهيئة الزكاة والضريبة والجمارك بجميع مناطق المملكة والأمانة العامة للجان الضريبية بالرياض والمنافذ الجمركية,منافسة عامة,تحت التنفيذ,220139485457, شركة انوفا للتجارة,2022-04-12,2022-05-25,12
IT Operations Governance and Quality Management,منافسة عامة,تحت التنفيذ,220239488713,فرع شركه ارنست ويونغ للنظم,2022-07-04,2022-09-14,12
الخدمات المدارة للدعم الفني والدعم التقني الميداني وخدمات المراقبة,منافسة عامة,تحت التنفيذ,220239490095,الشركة العربية لخدمات الانترنت والاتصالات,2022-05-18,2022-06-16,24
مشروع تخزين وثائق وملفات,منافسة عامة,تحت التنفيذ,220239497423,101003 شركه القلعه للمستودعات المحدوده,2022-04-06,2022-06-15,48
تنفيذ حملات تسويقية للأمانة العامة للجان الجمركية,منافسة عامة,تحت التنفيذ,220239497315,شركة هوية العربية التجارية ,2022-04-17,2022-06-15,12
الخدمات المدارة للبنية التحتية والتطبيقات لتقنية المعلومات,منافسة عامة,تحت التنفيذ,211239470755,فرع شركه تاتا كونسلتنسي,2022-06-01,2022-08-03,24
تنفيذ حملات تسويقية,منافسة عامة,تحت التنفيذ,220239497064, وكالة نحو الحوار للدعايه والاعلان,2022-06-15,2022-08-03,8
أنشطة وفعاليات داخلية,منافسة عامة,تحت التنفيذ,220239497624, وكالة نحو الحوار للدعايه والاعلان,2022-04-21,2022-06-15,8
تأمين أجهزة أمنية متنوعة بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220239500808, شركة مجموعة الجرس السعودي,2022-06-06,2022-08-03,36
تقديم خدمات عروض ومزايا للموظفين,منافسة عامة,تحت التنفيذ,220239497606,100319 شركة ثورة العلم,2022-04-06,2022-06-15,12
مشروع تأمين وتشغيل أنظمة متنقلة للفحص بالأشعة السينية بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220239504266,شركة اي جي اند جي الشرق الأوسط,2023-02-27,2023-04-06,36
