,اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
126,مشروع تطوير نقل الموظف حسب الحالات الخاصة,منافسة عامة,تحت التنفيذ,220439554164,شركة الفابت السعودية,2022-07-05,2022-09-13,12
127,تصميم وتنفيذ تحسينات على نظام إيراد (المرحلة الثالثة),منافسة عامة,تحت التنفيذ,220439554315,شركه انفينيو لحلول الاعمال,2022-07-25,2022-08-25,12
128,مشروع تحسينات على نظام العقود الذكية,منافسة عامة,تحت التنفيذ,220439554205,شركة اجادة للنظم المحدودة,2022-06-28,2022-08-11,12
129,مشروع تحسينات على نظام العلاقات الدولية,منافسة عامة,تحت التنفيذ,220439554236,شركة اجادة للنظم المحدودة,2022-07-04,2022-08-25,12
130,Data Wipe Solution,منافسة عامة,تحت التنفيذ,220439554395, مؤسسة نسيج الأعمال لتقنية المعلومات,2022-06-22,2022-08-03,1
131,مشروع أعمال أنظمة إنذار ومكافحة الحريق بمنفذ البطحاء,منافسة عامة,تحت التنفيذ,220539557527,شركة أعمال الضمان للمقاولات,2022-09-14,2022-11-06,15
132,عملية نزح مياه الصرف الصحي لمباني هيئة الزكاة والضريبة والجمارك بحي المغرزات بالرياض,منافسة عامة,تحت التنفيذ,220539557722, مؤسسة مناير نجد للمقاولات,2022-06-27,2022-09-05,24
133,مشروع الحلول الرقمية (Omni-Channels),منافسة عامة,تحت التنفيذ,220539558401,شركه شور العالمية للتقنية,2022-11-08,2022-12-14,12
134,مناولة جمرك منفذ البطحاء,منافسة عامة,تحت التنفيذ,220539559258,موسسه رائد صالح الصيعري للمقاولات,2022-08-03,2022-10-27,12
135,تأهيل وتطوير بيئة العمل في مباني جمارك وجوازات صالات استقبال الباصات بمنفذ البطحاء,منافسة عامة,تحت التنفيذ,220539558922,شركة آل مترك للمقاولات,2022-07-25,2022-08-25,3
136,هدية الموظف الجديد,منافسة عامة,تحت التنفيذ,220539563558, شركة إيوان الخليج للتجارة,2022-07-26,2022-09-01,12
137,تطوير نظام مراقبة البنية التحتية والشبكات,منافسة عامة,تحت التنفيذ,220539565793,شركة المعمر لأنظمة المعلومات,2022-08-09,2022-09-07,3
138,تعديل تغطيات أعمدة مظلات الركاب والجوازات في منفذ البطحاء,منافسة عامة,تحت التنفيذ,220539566216,شركة الحارثية المحدودة,2022-06-26,2022-08-18,2
139,تجديد رخص SoftwareAG BPM,منافسة عامة,تحت التنفيذ,220539565901,الشركة العربية لخدمات الانترنت والاتصالات,2022-07-25,2022-09-01,12
140,تأهيل وتطوير مباني الهيئة في منفذ جسر الملك فهد,منافسة عامة,تحت التنفيذ,220539569542, مؤسسة مجال للمقاولات العامة,2022-07-28,2022-08-25,2
141,مناولة جمرك منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220539568276,موسسه الرويس للمقاولات,2022-07-27,2022-08-25,12
142,تأمين أنظمة فحص بالأشعة السينية 2022,منافسة عامة,تحت التنفيذ,220439536165,الشركة المتحدة للاعمال التقنية,2022-12-12,2023-03-01,36
143,إدارة ممتلكات سكن العزاب بالمدينة السكنية بمنفذ البطحاء ومنفذ جديدة عرعر,منافسة عامة,تحت التنفيذ,220539558859,شركة تدبير المحدودة,2022-10-17,2022-11-16,24
